idAAv,titre,createur
894,Samoure,Grier Stagge
368,Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle),Sandy Lorinez
101,Innocent Lies,Emelyne Vayro
648,Howling IV: The Original Nightmare,Timothea Kill
636,Sprung,Halie Gheorghescu
951,"Rocket, The (a.k.a. Maurice Richard)",Ramsey McGahern
239,Chapter Two,Emilee Fibbings
970,"Hunchback of Notre Dame, The",Nona Smiths
350,"Mission, The (Cheung fo)",Fee Aulton
379,"Mark, The",Westleigh Haldane
491,Corto Maltese: The Guilded House of Samarkand (La maison dorée de Samarkand),Domeniga Burnsides
183,"Lords of Flatbush, The",Claretta Darkins
21,Lady for a Day,Brig Seivertsen
162,In a World...,Carroll Stiebler
841,My Father and My Son (Babam ve oglum),Gabriele Antusch
892,Crooks in Clover (a.k.a. Monsieur Gangster) (Les tontons flingueurs),Johny Granger
745,Initial D (Tau man ji D),Consuelo Deason
321,Blood into Wine,Randi Pimer
304,Getting Away With Murder,Nell Veysey
665,Bagdad Cafe (Out of Rosenheim),Renie Ridder
796,Thomas Jefferson,Renaldo Degoix
32,"Getting Go, the Go Doc Project",Ashleigh Atteridge
546,Executive Target,Conant Matfin
1063,Redbelt,Gaven Sentance
215,In Custody,Orsa Arch
108,Baggage Claim,Carmella Straniero
613,Premature,Sawyer Renzo
102,Stay Hungry,Donelle Skullet
199,"Road Warrior, The (Mad Max 2)",Fey Lurriman
438,Evil Dead,Sheelagh Ainsley
734,Beautiful Girl,Lee Donnelly
208,Feast of July,Kamilah Millier
585,Enid Is Sleeping,Elbert Gland
475,Shoppen ,Shelley Ziemke
1062,Springfield Rifle,Lewes McGarrity
190,Condition Red (Beyond the Law),Horst Newhouse
696,Lost in Space,Janeen Aleksich
231,Deadly Advice,Artie Kramer
261,"Call of the Wild, The",Ianthe Filmer
564,Yellow,Ernestus Westbrook
512,Thousands Cheer,Eugen Hinrich
201,Force 10 from Navarone,Jobye Ciccottini
106,Free Birds,Hattie Brodie
507,Miss Sadie Thompson,Bruno Stothert
85,Tell Them Who You Are,Karolina Gotliffe
29,"Insider, The",Mannie Fleetham
238,"Girls, Les",Bel Kimblin
1043,"Last Run, The",Towny Oppery
717,Malcolm X,Ashly Gate
495,Jim Jefferies: BARE,Isidor O'Hogertie
806,Possessed (Besat),Hamel Rootham
136,"Lords of Flatbush, The",Claretta Darkins
481,Turning Tide (En solitaire),Quentin Flores
704,Don Juan,Robbi Rangell
246,Picnic at Hanging Rock,Pippo Jewett
1015,Stand-In,Aldwin Verlander
1061,"St. Francisville Experiment, The",Markus Phebee
810,Mr. Freedom,Saundra Panter
903,Deathstalker II,Nannette Marzelle
615,Where Do We Go Now?,Shelbi Pauleit
139,My Cousin Rachel,Alana Ruffli
1057,Tyler Perry's Why Did I Get Married?,Con Clayson
1070,"Boy and His Dog, A",Zenia Crooke
455,"Secret Policeman's Other Ball, The",Ivory Hibbart
349,"Cherry Orchard, The (Sakura no sono)",Flossie Kilbane
1014,Downeast,Anstice Orkney
1017,Like Mike 2: Streetball,Fidelity Vescovo
257,Brainscan,Duffy Burbidge
1019,Soundbreaker ,Aubrette Paulat
293,Midway,Noll Berrane
986,Cheerful Weather for the Wedding,Ellette Dowyer
681,"Interview, The",Kellby Keely
432,Watermark,Tomi Robbings
244,"Bobby Jones, Stroke of Genius",Glenn Savins
1060,"Man, Woman and the Wall (Kikareta onna no mirareta yoru)",Teressa Seamarke
589,Panic,Alina Bang
612,On Our Merry Way,Meghan Bampkin
560,Annie Get Your Gun,Temple McCloud
715,Crockdale,Tremayne Quye
389,Welcome to the Space Show (Uchû shô e yôkoso),Jarrad Boys
474,"Social Network, The",Rip Kings
